0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"[0.1423778384923935, 0.3683019280433655, -0.07103414088487625]","[0.14979149401187897, 0.362079918384552, -0.06149702146649361]","[0.15229608118534088, 0.3620818853378296, -0.06152363494038582]","[0.15476852655410767, 0.3621230125427246, -0.06155703589320183]","[0.1423654407262802, 0.36172038316726685, -0.06820112466812134]","[0.13929764926433563, 0.3614303767681122, -0.06820657849311829]","[0.13624916970729828, 0.36115121841430664, -0.06828045099973679]","[0.15507100522518158, 0.3650053143501282, 0.006745876278728247]","[0.1255604475736618, 0.360037237405777, -0.02536218799650669]","[0.14863207936286926, 0.381224125623703, -0.042999815195798874]","[0.13784809410572052, 0.3808911144733429, -0.05243895202875137]","[0.1708848625421524, 0.4094771146774292, 0.06383296847343445]","[0.10877938568592072, 0.406962126493454, -0.04362175613641739]","[0.1971265822649002, 0.43264198303222656, 0.09295688569545746]","[0.09340707957744598, 0.4667898118495941, -0.11247850954532623]","[0.19758957624435425, 0.41051357984542847, 0.08507883548736572]","[0.12116561084985733, 0.4859152138233185, -0.15621528029441833]","[0.1977270245552063, 0.4089483916759491, 0.07816347479820251]","[0.12729868292808533, 0.4969371557235718, -0.17004834115505219]","[0.19399026036262512, 0.39959031343460083, 0.07444056868553162]","[0.1307409405708313, 0.48712781071662903, -0.1710885465145111]","[0.19316892325878143, 0.40124332904815674, 0.08220027387142181]","[0.1290145218372345, 0.48490360379219055, -0.15636798739433289]","[0.16395753622055054, 0.5495502352714539, 0.04189211130142212]","[0.12805432081222534, 0.5560263395309448, -0.04189848154783249]","[0.19204920530319214, 0.6473464965820312, 0.059519849717617035]","[0.1262311190366745, 0.6631629467010498, -0.05996394902467728]","[0.2139929234981537, 0.739581823348999, 0.10746447741985321]","[0.11396398395299911, 0.7632150053977966, -0.028545793145895004]","[0.20831212401390076, 0.7590135335922241, 0.10965237766504288]","[0.10797019302845001, 0.7761789560317993, -0.027640774846076965]","[0.2416398823261261, 0.7616069316864014, 0.06310413777828217]","[0.13232652842998505, 0.8042231798171997, -0.09783108532428741]"
"[0.14019912481307983, 0.37237533926963806, -0.2156672179698944]","[0.14083296060562134, 0.36268532276153564, -0.2052953988313675]","[0.1429392397403717, 0.36221086978912354, -0.20532020926475525]","[0.14505434036254883, 0.36209946870803833, -0.20535790920257568]","[0.1323426216840744, 0.36251696944236755, -0.2132416069507599]","[0.1304864138364792, 0.3630756735801697, -0.2132730484008789]","[0.12616300582885742, 0.3632162809371948, -0.21334142982959747]","[0.14592471718788147, 0.3641315698623657, -0.11613212525844574]","[0.12246644496917725, 0.36986789107322693, -0.15286067128181458]","[0.14273354411125183, 0.3814672529697418, -0.17854908108711243]","[0.1352570503950119, 0.3829329311847687, -0.1892612874507904]","[0.1680060178041458, 0.4061896502971649, -0.014154422096908092]","[0.1077178493142128, 0.41411229968070984, -0.13406254351139069]","[0.18455687165260315, 0.4461768865585327, 0.032672155648469925]","[0.08697256445884705, 0.47852379083633423, -0.1793862134218216]","[0.18734297156333923, 0.4668312668800354, -0.033395927399396896]","[0.11136442422866821, 0.5125026702880859, -0.25755518674850464]","[0.18935029208660126, 0.47668203711509705, -0.04957235977053642]","[0.11636767536401749, 0.5271709561347961, -0.283672034740448]","[0.1870260089635849, 0.4705268442630768, -0.06848431378602982]","[0.12263747304677963, 0.5176945328712463, -0.29202333092689514]","[0.1854059249162674, 0.4686647951602936, -0.043028853833675385]","[0.12152466922998428, 0.513055682182312, -0.26088327169418335]","[0.1635366827249527, 0.5450736284255981, 0.04438309371471405]","[0.12806181609630585, 0.5542559027671814, -0.04441157355904579]","[0.19121737778186798, 0.6524903774261475, 0.07634606212377548]","[0.12615132331848145, 0.6624845862388611, -0.11795289814472198]","[0.21522048115730286, 0.7426995038986206, 0.15515120327472687]","[0.11383293569087982, 0.7615530490875244, -0.09158948808908463]","[0.21009068191051483, 0.7618353962898254, 0.1581907719373703]","[0.10796947777271271, 0.7743264436721802, -0.09249012172222137]","[0.2501888871192932, 0.7615387439727783, 0.09090039879083633]","[0.12997481226921082, 0.8036820888519287, -0.19017186760902405]"
"[0.13888050615787506, 0.37701302766799927, -0.23111295700073242]","[0.13808132708072662, 0.3638995587825775, -0.2204056680202484]","[0.14056071639060974, 0.36337950825691223, -0.22043626010417938]","[0.14159457385540009, 0.3616870641708374, -0.22047999501228333]","[0.1305590122938156, 0.36528971791267395, -0.2295459806919098]","[0.12832096219062805, 0.3664957284927368, -0.22957666218280792]","[0.12521633505821228, 0.3676414489746094, -0.2296372950077057]","[0.14177045226097107, 0.36413809657096863, -0.1348329335451126]","[0.12060356140136719, 0.373272567987442, -0.17720702290534973]","[0.1422211229801178, 0.3821069598197937, -0.1960408240556717]","[0.13437077403068542, 0.3869427442550659, -0.20821571350097656]","[0.15977142751216888, 0.40622419118881226, -0.038420047610998154]","[0.10010852664709091, 0.42081934213638306, -0.1532631814479828]","[0.1801784336566925, 0.456861674785614, 0.03379426524043083]","[0.07165959477424622, 0.49796822667121887, -0.16859537363052368]","[0.18811042606830597, 0.48344337940216064, -0.006322766654193401]","[0.09734123200178146, 0.5289406180381775, -0.2108887881040573]","[0.19060353934764862, 0.49416276812553406, -0.017832554876804352]","[0.1074809804558754, 0.5537436008453369, -0.23014381527900696]","[0.18747030198574066, 0.4882880747318268, -0.03643731400370598]","[0.11446678638458252, 0.5435155630111694, -0.23822414875030518]","[0.1865611970424652, 0.4863590598106384, -0.015531526878476143]","[0.11258216202259064, 0.538270115852356, -0.2133699655532837]","[0.1552623212337494, 0.5485840439796448, 0.04429711773991585]","[0.12383703142404556, 0.5609052181243896, -0.044326119124889374]","[0.18678982555866241, 0.6561400890350342, 0.07947276532649994]","[0.12279067933559418, 0.6640644073486328, -0.06204227730631828]","[0.21518513560295105, 0.7423297762870789, 0.1536097228527069]","[0.11275104433298111, 0.7587634921073914, 0.01285852026194334]","[0.21011725068092346, 0.761406660079956, 0.15694890916347504]","[0.10504394769668579, 0.7726267576217651, 0.017081908881664276]","[0.2503125071525574, 0.7584193348884583, 0.09436436742544174]","[0.12937654554843903, 0.8027272820472717, -0.06786845624446869]"
"[0.1336170732975006, 0.37460899353027344, -0.249567911028862]","[0.1324416846036911, 0.35985419154167175, -0.24025917053222656]","[0.13475927710533142, 0.35907161235809326, -0.24027371406555176]","[0.1371629536151886, 0.35785219073295593, -0.24029187858104706]","[0.12488921731710434, 0.36201053857803345, -0.24641552567481995]","[0.1223406046628952, 0.3632872402667999, -0.24647054076194763]","[0.11919510364532471, 0.3644300401210785, -0.24652385711669922]","[0.13851621747016907, 0.3607693016529083, -0.16256490349769592]","[0.11534076929092407, 0.3713919222354889, -0.19100363552570343]","[0.138828307390213, 0.3813609182834625, -0.21801309287548065]","[0.1296173632144928, 0.38677650690078735, -0.22623857855796814]","[0.15958473086357117, 0.40913376212120056, -0.09685467183589935]","[0.08985523879528046, 0.42043668031692505, -0.14838676154613495]","[0.17724059522151947, 0.4753324091434479, -0.09270236641168594]","[0.06311984360218048, 0.49615105986595154, -0.1550649106502533]","[0.14715467393398285, 0.506423830986023, -0.19359488785266876]","[0.09250994026660919, 0.5500993728637695, -0.16599750518798828]","[0.13753177225589752, 0.5216853618621826, -0.22023244202136993]","[0.09872208535671234, 0.5696040987968445, -0.18543052673339844]","[0.13345034420490265, 0.5104780793190002, -0.22788064181804657]","[0.1046517863869667, 0.5611110329627991, -0.19968095421791077]","[0.13559675216674805, 0.5060639381408691, -0.19827257096767426]","[0.10377921164035797, 0.553865373134613, -0.17061805725097656]","[0.15264108777046204, 0.5565149784088135, 0.030309638008475304]","[0.11689817905426025, 0.5643453598022461, -0.03040860965847969]","[0.18346264958381653, 0.6587595343589783, 0.07694697380065918]","[0.11906775087118149, 0.6676429510116577, -0.03366529941558838]","[0.21490196883678436, 0.7422583103179932, 0.17081443965435028]","[0.11237505823373795, 0.7562273740768433, 0.05571388453245163]","[0.21007807552814484, 0.7607759833335876, 0.17658689618110657]","[0.10517191886901855, 0.7716158032417297, 0.06095157936215401]","[0.24941082298755646, 0.7567563652992249, 0.10724435746669769]","[0.12813593447208405, 0.8017999529838562, -0.02710815705358982]"
"[0.12622013688087463, 0.3691563010215759, -0.29318779706954956]","[0.1264159381389618, 0.354498952627182, -0.28264227509498596]","[0.12901131808757782, 0.35322946310043335, -0.2826782166957855]","[0.13148434460163116, 0.3517294228076935, -0.2827174961566925]","[0.11770911514759064, 0.3571001887321472, -0.28809213638305664]","[0.11487158387899399, 0.3581070005893707, -0.2881481349468231]","[0.112005315721035, 0.3589562773704529, -0.28818240761756897]","[0.13316769897937775, 0.35446402430534363, -0.1915462464094162]","[0.1087597981095314, 0.36792343854904175, -0.2167879343032837]","[0.13238850235939026, 0.37705153226852417, -0.25659483671188354]","[0.12197884172201157, 0.38210421800613403, -0.2637869715690613]","[0.1578461080789566, 0.4079280495643616, -0.10753510147333145]","[0.08306804299354553, 0.41972288489341736, -0.16558723151683807]","[0.17858083546161652, 0.464316725730896, -0.10477697849273682]","[0.05836647003889084, 0.4984242618083954, -0.15128400921821594]","[0.1653677523136139, 0.4944574534893036, -0.22833473980426788]","[0.0659886971116066, 0.5794363021850586, -0.18547597527503967]","[0.15741382539272308, 0.507721483707428, -0.2583325207233429]","[0.06360647082328796, 0.6007036566734314, -0.20737531781196594]","[0.1553696244955063, 0.49983251094818115, -0.27622637152671814]","[0.06898090988397598, 0.6040422916412354, -0.22982773184776306]","[0.15818946063518524, 0.4965246021747589, -0.23899754881858826]","[0.06948290765285492, 0.5908306837081909, -0.19514697790145874]","[0.1492527425289154, 0.5558170080184937, 0.029515152797102928]","[0.11007795482873917, 0.5633626580238342, -0.02960892580449581]","[0.18040890991687775, 0.6579588651657104, 0.08340733498334885]","[0.11594458669424057, 0.6700770258903503, -0.014342712238430977]","[0.2139321267604828, 0.7422346472740173, 0.18652527034282684]","[0.11237330734729767, 0.7567319273948669, 0.08895689249038696]","[0.2098345309495926, 0.7605971097946167, 0.1925387978553772]","[0.10705189406871796, 0.7712617516517639, 0.09510773420333862]","[0.2490381896495819, 0.755034863948822, 0.11809937655925751]","[0.12727828323841095, 0.8018382787704468, 0.002255112398415804]"
"[0.11914054304361343, 0.3648405373096466, -0.34315893054008484]","[0.12119185924530029, 0.3509301543235779, -0.3310374915599823]","[0.12436262518167496, 0.35007748007774353, -0.33105912804603577]","[0.12721097469329834, 0.3491622805595398, -0.33110108971595764]","[0.11197532713413239, 0.3524652123451233, -0.3413550555706024]","[0.10919766128063202, 0.3529510200023651, -0.34143978357315063]","[0.1064465269446373, 0.35348865389823914, -0.34148502349853516]","[0.13026145100593567, 0.35200798511505127, -0.2343788892030716]","[0.1017303615808487, 0.36178168654441833, -0.28248131275177]","[0.1259324848651886, 0.37426134943962097, -0.30444979667663574]","[0.11456979811191559, 0.3770470917224884, -0.318476140499115]","[0.15446524322032928, 0.40635916590690613, -0.14097318053245544]","[0.07183974236249924, 0.420065313577652, -0.22912044823169708]","[0.1750706136226654, 0.46937423944473267, -0.10953700542449951]","[0.048749350011348724, 0.5012974143028259, -0.21637697517871857]","[0.17210181057453156, 0.5279279947280884, -0.20031538605690002]","[0.057435374706983566, 0.5779653191566467, -0.2528612017631531]","[0.1606941670179367, 0.5454332828521729, -0.223399356007576]","[0.055992405861616135, 0.5989644527435303, -0.27712151408195496]","[0.15705262124538422, 0.5436351895332336, -0.24500608444213867]","[0.06380382180213928, 0.5977271795272827, -0.29525989294052124]","[0.16529721021652222, 0.5388453602790833, -0.2116636037826538]","[0.06622717529535294, 0.5896587371826172, -0.2604749798774719]","[0.1443057358264923, 0.555830180644989, 0.03187491372227669]","[0.10380631685256958, 0.5638723969459534, -0.03195416182279587]","[0.17803449928760529, 0.6572625637054443, 0.09337852150201797]","[0.11324931681156158, 0.6715494394302368, -0.005312306806445122]","[0.2124004065990448, 0.7420885562896729, 0.21112897992134094]","[0.11224932968616486, 0.7575768232345581, 0.12500515580177307]","[0.209124356508255, 0.7605053782463074, 0.21832537651062012]","[0.1078694686293602, 0.7711557745933533, 0.13361689448356628]","[0.2475368231534958, 0.7534914612770081, 0.1380113959312439]","[0.126979261636734, 0.8018683791160583, 0.03652200102806091]"
"[0.11271451413631439, 0.36295387148857117, -0.3651542067527771]","[0.11410852521657944, 0.3502231538295746, -0.35197561979293823]","[0.11687451601028442, 0.34946349263191223, -0.35199058055877686]","[0.11956733465194702, 0.3486022353172302, -0.352026104927063]","[0.10615120828151703, 0.35129567980766296, -0.36373481154441833]","[0.10361166298389435, 0.3515731692314148, -0.3638193905353546]","[0.10113710165023804, 0.35188835859298706, -0.3638758957386017]","[0.12240450084209442, 0.35137808322906494, -0.2510433793067932]","[0.09605494141578674, 0.35926440358161926, -0.3062111437320709]","[0.11864028871059418, 0.3722824156284332, -0.32492196559906006]","[0.10806199163198471, 0.37451988458633423, -0.3410007357597351]","[0.14809122681617737, 0.40583813190460205, -0.15326052904129028]","[0.06957481801509857, 0.4196149706840515, -0.2567882835865021]","[0.17155002057552338, 0.47258707880973816, -0.12484083324670792]","[0.043189167976379395, 0.49953460693359375, -0.25772184133529663]","[0.17388062179088593, 0.5369108319282532, -0.2253759354352951]","[0.05774207040667534, 0.573085367679596, -0.3024139106273651]","[0.17024697363376617, 0.5563936233520508, -0.25187668204307556]","[0.058696646243333817, 0.5944178104400635, -0.3306007981300354]","[0.16683679819107056, 0.5543542504310608, -0.2745402455329895]","[0.067335344851017, 0.5917012095451355, -0.3460443913936615]","[0.16790013015270233, 0.5487188100814819, -0.23736675083637238]","[0.06886659562587738, 0.5842822790145874, -0.30881813168525696]","[0.1410239189863205, 0.5573556423187256, 0.03333833068609238]","[0.10105790197849274, 0.5662596821784973, -0.03348647803068161]","[0.17611780762672424, 0.6586808562278748, 0.11054541170597076]","[0.11128610372543335, 0.6756171584129333, -0.012862734496593475]","[0.21018068492412567, 0.7420377135276794, 0.26011988520622253]","[0.11209980398416519, 0.7594038844108582, 0.13022379577159882]","[0.207806795835495, 0.7604824900627136, 0.27043646574020386]","[0.10843588411808014, 0.7712185978889465, 0.14006763696670532]","[0.24448709189891815, 0.752977728843689, 0.18926891684532166]","[0.12665751576423645, 0.801897406578064, 0.037644777446985245]"
"[0.1097339615225792, 0.36541032791137695, -0.29449263215065]","[0.11127666383981705, 0.351976215839386, -0.2826496660709381]","[0.11421646922826767, 0.35078632831573486, -0.2826616168022156]","[0.11701540648937225, 0.3498394191265106, -0.2826824188232422]","[0.10263613611459732, 0.3543100655078888, -0.29154661297798157]","[0.09977841377258301, 0.3550282120704651, -0.29160282015800476]","[0.09721561521291733, 0.35597503185272217, -0.2916311025619507]","[0.12026230990886688, 0.35180196166038513, -0.18844249844551086]","[0.09232410788536072, 0.36323967576026917, -0.23037688434123993]","[0.11589481681585312, 0.3733319342136383, -0.25660473108291626]","[0.10526035726070404, 0.37645235657691956, -0.26872533559799194]","[0.14467453956604004, 0.4061162769794464, -0.09948266297578812]","[0.06797061115503311, 0.42146429419517517, -0.18762817978858948]","[0.16809730231761932, 0.4693388342857361, -0.07381092011928558]","[0.0384623184800148, 0.49662840366363525, -0.24803194403648376]","[0.1656927615404129, 0.5198183059692383, -0.17988596856594086]","[0.06607979536056519, 0.5416777729988098, -0.29586711525917053]","[0.16473588347434998, 0.5372282862663269, -0.20590226352214813]","[0.07192055881023407, 0.5551256537437439, -0.29280757904052734]","[0.15975460410118103, 0.5305330753326416, -0.22392340004444122]","[0.07781337201595306, 0.5841859579086304, -0.30584612488746643]","[0.15830793976783752, 0.5253707766532898, -0.18962745368480682]","[0.07564003020524979, 0.5397671461105347, -0.30776530504226685]","[0.13927844166755676, 0.5596897602081299, 0.033889856189489365]","[0.10057004541158676, 0.5690950155258179, -0.03401758149266243]","[0.17444171011447906, 0.6595712304115295, 0.10327799618244171]","[0.1099671944975853, 0.6765011548995972, -0.011756720952689648]","[0.20772290229797363, 0.7419863939285278, 0.22587373852729797]","[0.11183372884988785, 0.7596566677093506, 0.10666556656360626]","[0.20575468242168427, 0.7604597210884094, 0.2339136153459549]","[0.1089453473687172, 0.7713121175765991, 0.11466018110513687]","[0.24142210185527802, 0.7524527907371521, 0.1587415188550949]","[0.12614773213863373, 0.8015294671058655, 0.022160150110721588]"
"[0.10554826259613037, 0.3655920922756195, -0.3036523163318634]","[0.10705690085887909, 0.3527333438396454, -0.2915611267089844]","[0.10997223854064941, 0.3516715168952942, -0.2915860116481781]","[0.11268886178731918, 0.3507204055786133, -0.2916140854358673]","[0.09832116961479187, 0.35457584261894226, -0.30003371834754944]","[0.09535250812768936, 0.35520198941230774, -0.3000950217247009]","[0.09268076717853546, 0.35660964250564575, -0.3001303970813751]","[0.11610052734613419, 0.35292118787765503, -0.19066797196865082]","[0.08745940774679184, 0.36472460627555847, -0.23007221519947052]","[0.1122918501496315, 0.37390750646591187, -0.2628711760044098]","[0.10132020711898804, 0.37665966153144836, -0.2742844820022583]","[0.14231489598751068, 0.40610426664352417, -0.09462767094373703]","[0.065041683614254, 0.4212627112865448, -0.17814770340919495]","[0.16258308291435242, 0.4669296145439148, -0.07474938035011292]","[0.03846629709005356, 0.49586978554725647, -0.20923030376434326]","[0.15664660930633545, 0.5114826560020447, -0.19969941675662994]","[0.0665077418088913, 0.5290998220443726, -0.2621307969093323]","[0.15548691153526306, 0.5278087854385376, -0.22953715920448303]","[0.07270322740077972, 0.5437164902687073, -0.26089733839035034]","[0.1483849287033081, 0.5131621360778809, -0.24863369762897491]","[0.07533187419176102, 0.5412722826004028, -0.27016910910606384]","[0.1477685421705246, 0.5084772706031799, -0.21048793196678162]","[0.07453517615795135, 0.5269681215286255, -0.2638706564903259]","[0.13905170559883118, 0.5602807402610779, 0.034131649881601334]","[0.09987698495388031, 0.5701398253440857, -0.03423311561346054]","[0.17221768200397491, 0.6603418588638306, 0.10517983138561249]","[0.10834243148565292, 0.6768224239349365, -0.014301231130957603]","[0.20531482994556427, 0.7423397302627563, 0.2353396713733673]","[0.11135141551494598, 0.7597290277481079, 0.10600338876247406]","[0.20329992473125458, 0.7609995603561401, 0.2437768429517746]","[0.1090221256017685, 0.7713920474052429, 0.11387751251459122]","[0.23835489153862, 0.7521914839744568, 0.16152825951576233]","[0.12600532174110413, 0.8006755113601685, 0.014057695865631104]"
"[0.10144337266683578, 0.365734726190567, -0.27373379468917847]","[0.10349889099597931, 0.3531607687473297, -0.2632720470428467]","[0.10649345815181732, 0.35213515162467957, -0.26330822706222534]","[0.10932866483926773, 0.35102495551109314, -0.26336389780044556]","[0.0952378362417221, 0.35474690794944763, -0.2742578387260437]","[0.09252887219190598, 0.3552713990211487, -0.27432090044021606]","[0.09011126309633255, 0.35690730810165405, -0.2744259834289551]","[0.11346076428890228, 0.35367435216903687, -0.18887212872505188]","[0.08562098443508148, 0.36566266417503357, -0.19668874144554138]","[0.10796656459569931, 0.3742862343788147, -0.23688900470733643]","[0.09741298854351044, 0.37695279717445374, -0.25113075971603394]","[0.13970492780208588, 0.4066128134727478, -0.08188547939062119]","[0.06451413035392761, 0.42145904898643494, -0.14258337020874023]","[0.160626620054245, 0.4654587507247925, -0.05621027201414108]","[0.03377074748277664, 0.4920680820941925, -0.1316891312599182]","[0.14957718551158905, 0.5055944919586182, -0.153083935379982]","[0.06610290706157684, 0.5218963027000427, -0.17692121863365173]","[0.14693671464920044, 0.519458532333374, -0.178809255361557]","[0.07442580163478851, 0.5344211459159851, -0.19763021171092987]","[0.14116357266902924, 0.509204626083374, -0.1960354596376419]","[0.07766330987215042, 0.5274932384490967, -0.20715439319610596]","[0.14072243869304657, 0.5047956705093384, -0.16232192516326904]","[0.07590353488922119, 0.5207251310348511, -0.17993766069412231]","[0.13785159587860107, 0.5603095293045044, 0.03444017842411995]","[0.09878325462341309, 0.5704582929611206, -0.03453827276825905]","[0.16943201422691345, 0.6601335406303406, 0.10683321952819824]","[0.10673973709344864, 0.676476776599884, -0.019088339060544968]","[0.20237112045288086, 0.742552638053894, 0.22871461510658264]","[0.11073342710733414, 0.7602733373641968, 0.09040428698062897]","[0.20001855492591858, 0.7617065906524658, 0.23627392947673798]","[0.10901258140802383, 0.7714321613311768, 0.09865771979093552]","[0.2362108677625656, 0.7513339519500732, 0.1585155725479126]","[0.12482025474309921, 0.8004069924354553, -0.005693846847862005]"
